name	description	function	returns	argument	type	details
ee.Image.matrixToDiag	Computes a square diagonal matrix from a single column matrix.	Image.matrixToDiag()	Image	value	Image	The image to which the operation is applied.
ee.Image.matrixTrace	Computes the trace of the matrix.	Image.matrixTrace()	Image	value	Image	The image to which the operation is applied.
ee.Image.matrixTranspose	Transposes two dimensions of each array pixel.	Image.matrixTranspose(axis1, axis2)	Image	input|axis1|axis2	Image|Integer, default: 0|Integer, default: 1	Input image.|First axis to swap.|Second axis to swap.
ee.Image.max	Selects the maximum of the first and second values for each matched pair of bands in image1 and image2. If either image1 or image2 has only 1 band, then it is used against all the bands in the other image. If the images have the same number of bands, but not the same names, they're used pairwise in the natural order. The output bands are named for the longer of the two inputs, or if they're equal in length, in image1's order. The type of the output pixels is the union of the input types.	Image.max(image2)	Image	image1|image2	Image|Image	The image from which the left operand bands are taken.|The image from which the right operand bands are taken.
ee.Image.medialAxis	Computes the discrete medial axis of the zero valued pixels of the first band of the input.  Outputs 4 bands:	Image.medialAxis(neighborhood, units)	Image	image|neighborhood|units	"Image|Integer, default: 256|String, default: ""pixels"""	The input image.|Neighborhood size in pixels.|The units of the neighborhood, currently only 'pixels' are supported.
ee.Image.metadata	Generates a constant image of type double from a metadata property.	Image.metadata(property, name)	Image	image|property|name	Image|String|String, default: null	The image from which to get the metadata|The property from which to take the value.|The name for the output band.  If unspecified, it will be the same as the property name.
ee.Image.min	Selects the minimum of the first and second values for each matched pair of bands in image1 and image2. If either image1 or image2 has only 1 band, then it is used against all the bands in the other image. If the images have the same number of bands, but not the same names, they're used pairwise in the natural order. The output bands are named for the longer of the two inputs, or if they're equal in length, in image1's order. The type of the output pixels is the union of the input types.	Image.min(image2)	Image	image1|image2	Image|Image	The image from which the left operand bands are taken.|The image from which the right operand bands are taken.
ee.Image.mod	Calculates the remainder of the first value divided by the second for each matched pair of bands in image1 and image2. If either image1 or image2 has only 1 band, then it is used against all the bands in the other image. If the images have the same number of bands, but not the same names, they're used pairwise in the natural order. The output bands are named for the longer of the two inputs, or if they're equal in length, in image1's order. The type of the output pixels is the union of the input types.	Image.mod(image2)	Image	image1|image2	Image|Image	The image from which the left operand bands are taken.|The image from which the right operand bands are taken.
ee.Image.multiply	Multiplies the first value by the second for each matched pair of bands in image1 and image2. If either image1 or image2 has only 1 band, then it is used against all the bands in the other image. If the images have the same number of bands, but not the same names, they're used pairwise in the natural order. The output bands are named for the longer of the two inputs, or if they're equal in length, in image1's order. The type of the output pixels is the union of the input types.	Image.multiply(image2)	Image	image1|image2	Image|Image	The image from which the left operand bands are taken.|The image from which the right operand bands are taken.
ee.Image.neighborhoodToArray	Turns the neighborhood of each pixel in a scalar image into a 2D array. Axes 0 and 1 of the output array correspond to Y and X axes of the image, respectively. The output image will have as many bands as the input; each output band has the same mask as the corresponding input band. The footprint and metadata of the input image are preserved.	Image.neighborhoodToArray(kernel, defaultValue)	Image	image|kernel|defaultValue	Image|Kernel|Float, default: 0	The image to get pixels from; must be scalar-valued.|The kernel specifying the shape of the neighborhood. Only fixed, square and rectangle kernels are supported. Weights are ignored; only the shape of the kernel is used.|The value to use in the output arrays to replace the invalid (masked) pixels of the input. If the band type is integral, the fractional part of this value is discarded; in all cases, the value is clamped to the value range of the band.
ee.Image.neighborhoodToBands	Turn the neighborhood of a pixel into a set of bands. The neighborhood is specified using a Kernel, and only non-zero-weight kernel values are used. The weights of the kernel is otherwise ignored.	Image.neighborhoodToBands(kernel)	Image	image|kernel	Image|Kernel	The image to get pixels from.|The kernel specifying the neighborhood. Zero-weight values are ignored.
